screen_code,state_code,title,approval_status,approved_for_development,artifact_type,reference_image,sha256
03C,15,Archivo no admitido,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_15_ARCHIVO_NO_ADMITIDO_APROBADA_FINAL.png,e492ef62d0c41e8bba1e5ef5a1b082958127483fb7ec4c5914f997f09e20fbe0
03C,16,Lado incorrecto o repetido,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_16_LADO_INCORRECTO_O_REPETIDO_APROBADA_FINAL.png,c2a7948212cec71fd2640230e5ee72f5a5ed1f8ba4b9ebf666025a9b7b60d089
03C,17,Documento no paraguayo,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_17_DOCUMENTO_NO_PARAGUAYO_APROBADA_FINAL.png,ebaaba8a22c9b353f0c593ac21df93d8e8114814ab5e029e16b4fda375388223
03C,18,Cédula vencida,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_18_CEDULA_VENCIDA_APROBADA_FINAL.png,524c3978915c5b8715232d10f2f5dc175d621a9d90d050deb41dce057d5873b0
03C,19,Posible alteracion,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_19_POSIBLE_ALTERACION_APROBADA_FINAL.png,c26878f6ce562a3be338fc19b9f69d26abbc2df58d4eacb8a0803d8e5c610002
03C,20,Camara denegada documento,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_20_CAMARA_DENEGADA_DOCUMENTO_APROBADA_FINAL.png,332b7067181bd90f4bd395b6c6689de4729f9275721639101e7d626f4885d82b
03C,21,Camara denegada selfie,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_21_CAMARA_DENEGADA_SELFIE_APROBADA_FINAL.png,0a2fa3ee708b4ccce1ce5a05c14de124e771d9367d7c83dfd3e89978adfc15c2
03C,22,Prueba de vida fallida,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_22_PRUEBA_DE_VIDA_FALLIDA_APROBADA_FINAL.png,e867dad4833cc1e9543b294967fcba829a062c0dcced1328dd25efa0b81452c5
03C,23,Coincidencia facial fallida,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_23_COINCIDENCIA_FACIAL_FALLIDA_APROBADA_FINAL.png,be6d0813da756cc894e6cebd3dac32450791a172c5e1027393d240df7f2ea931
03C,24,Error tecnico,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_24_ERROR_TECNICO_APROBADA_FINAL.png,49a0e651fc5260df5db3e83d083747cd0e68e471095d76e8e8f5d6acec0dc45d
03C,25,Bloqueo temporal 5 minutos,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03C_25_BLOQUEO_TEMPORAL_5_MINUTOS_APROBADA_FINAL.png,47bba6e5bbc3ca2fd669f3a76f34eb125ed18084744135c51608eec6247147b4
03C,resumen-26-estados,Resumen 26 estados,APROBADA_FINAL,False,summary_board,assets/screens/aprobadas/PANTALLA_03C_RESUMEN_26_ESTADOS_APROBADA_FINAL.png,747a0178f3f439e9f8784f0e95324646ebfae4ea2fa04862bdead88e73563224
